Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,allstar
2555,Jamal Mashburn,CHH,29.0,203.2,112.037224,Kentucky,USA,1993,1,4,40,21.5,6.1,4.3,1.8,0.022,0.149,0.276,0.505,0.202,2002,1
2564,Jermaine O'Neal,IND,23.0,210.82,109.76926399999999,None,USA,1996,1,17,72,19.0,10.5,1.6,1.7,0.08199999999999999,0.225,0.251,0.521,0.079,2002,1
2573,Jason Kidd,NJN,29.0,193.04,96.161504,California,USA,1994,1,2,82,14.7,7.3,9.9,5.7,0.047,0.16899999999999998,0.221,0.484,0.407,2002,1
2609,Dirk Nowitzki,DAL,24.0,213.36,111.13004,None,Germany,1998,1,9,76,23.4,9.9,2.4,6.6,0.048,0.24,0.254,0.599,0.105,2002,1
2618,Gary Payton,SEA,33.0,193.04,81.64656,Oregon State,USA,1990,1,2,82,22.1,4.8,9.0,3.2,0.029,0.11,0.271,0.526,0.391,2002,1
2702,Andrei Kirilenko,UTA,22.0,205.74,102.0582,None,Russia,1999,1,24,80,12.0,5.3,1.7,2.1,0.083,0.145,0.194,0.598,0.11,2003,1
2708,Allen Iverson,PHI,28.0,182.88,74.84268,Georgetown,USA,1996,1,1,82,27.6,4.2,5.5,1.8,0.022,0.095,0.327,0.5,0.248,2003,1
2727,Brad Miller,IND,27.0,213.36,118.38751200000002,Purdue,USA,Undrafted,Undrafted,Undrafted,73,13.1,8.3,2.6,6.0,0.097,0.198,0.187,0.579,0.14,2003,1
2735,Ben Wallace,DET,28.0,205.74,108.86208,Virginia Union,USA,Undrafted,Undrafted,Undrafted,73,6.9,15.4,1.6,5.0,0.12,0.345,0.103,0.486,0.069,2003,1
2736,Baron Davis,NOH,24.0,190.5,101.151016,UCLA,USA,1999,1,3,50,17.1,3.7,6.4,4.7,0.034,0.081,0.243,0.5,0.302,2003,1
2755,Jamaal Magloire,NOH,25.0,210.82,117.480328,Kentucky,Canada,2000,1,19,82,10.3,8.8,1.1,2.4,0.123,0.223,0.174,0.541,0.058,2003,1
2785,Jermaine O'Neal,IND,24.0,210.82,109.76926399999999,None,USA,1996,1,17,77,20.8,10.3,2.0,3.1,0.08199999999999999,0.225,0.264,0.539,0.105,2003,1
2795,Jason Kidd,NJN,30.0,193.04,96.161504,California,USA,1994,1,2,80,18.7,6.3,8.9,7.6,0.042,0.14800000000000002,0.255,0.526,0.407,2003,1
2812,Dirk Nowitzki,DAL,25.0,213.36,111.13004,None,Germany,1998,1,9,80,25.1,9.9,3.0,12.9,0.029,0.249,0.273,0.581,0.129,2003,1
2854,Sam Cassell,MIL,33.0,190.5,83.91452,Florida State,USA,1993,1,24,78,19.7,4.4,5.8,-1.2,0.024,0.124,0.262,0.565,0.293,2003,1
2866,Shaquille O'Neal,LAL,31.0,215.9,151.95332,Louisiana State,USA,1992,1,1,67,27.5,11.1,3.1,6.9,0.12,0.214,0.303,0.602,0.15,2003,1
2884,Ray Allen,SEA,27.0,195.58,92.98636,Connecticut,USA,1996,1,5,76,22.5,5.0,4.4,2.6,0.039,0.118,0.28,0.565,0.217,2003,1
2904,Steve Francis,HOU,26.0,190.5,88.45044,Maryland,USA,1999,1,2,81,21.0,6.2,6.2,2.4,0.057,0.115,0.259,0.541,0.278,2003,1
